0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
23.4,d_20051001,72.1,57.6,28.1,14.6,4.3,0,4.6,1.2,0,0,0
30,d_20051101,63.5,45.6,13,5.6,0.8,0,6.4,1.5,0,0,0
34.3,d_20051201,58.2,41.2,9.9,2.8,0.1,0,7.5,2.8,0,0,0
54.4,d_20060101,35.8,16,0.4,0,0,0,9.6,5,0,0,0
58.1,d_20060201,28.8,10.8,1,0,0,0,13.1,8,1.7,0,0
72.2,d_20060301,13.8,2.7,0,0,0,0,14.1,7.6,0.3,0,0
70.3,d_20060401,8.3,1.3,0,0,0,0,21.5,10.3,2.9,0.7,0.1
43.8,d_20060501,2,0.4,0,0,0,0,54.3,31.8,8.8,3.1,0.6
48.1,d_20060601,24.7,15.6,5,2,0,0,27.3,13.3,2.1,0,0
34.8,d_20060701,41,30.5,15.3,7.1,0.9,0,24.1,18.1,5.3,2.1,0
45.5,d_20060801,38.7,24.5,9.4,3.5,0.1,0,15.9,8.3,2.7,0.4,0
39.8,d_20060901,42.4,31.7,11.6,6,0.8,0,17.8,11.3,2,0.5,0
34.7,d_20061001,46,32.7,15.3,6.7,1.9,0,19.3,10,2,0.5,0
35.2,d_20061101,44,31.6,17.7,8.3,2.5,0,20.9,13.5,3.5,1.2,0
38.5,d_20061201,38.1,27.6,17.9,9.4,2.3,0,23.4,12.9,2.1,0.5,0
42.2,d_20070101,39.2,25.1,13.8,6.7,1.8,0,18.4,7,1.1,0,0
45.6,d_20070201,45.3,31.1,17.1,9.2,3.3,0,9.2,4.4,0.5,0,0
